station,latitude,longitude,elevation_m,depth_m,sensor,n_days,start_date,end_date
BaseTitaniumDam,-4.40624,39.43056,55.0,0.2,GS1,372,2020-01-01,2021-02-25
DedanKimathiUniversityofTechnology,-0.40389,36.96573,1753.0,0.1,TEROS12,710,2020-01-01,2021-12-10
DwaEstate,-2.38855,38.04077,791.0,0.2,GS1,717,2020-01-01,2021-12-31
ImurtottPrimaryschool,-2.88283,37.38735,1853.0,0.1,TEROS12,731,2020-01-01,2021-12-31
IrbaanPrimary,-1.46418,35.28793,1605.0,0.2,TEROS12,731,2020-01-01,2021-12-31
KenyaMeteorologicalDepartment,-1.30184,36.7602,1798.0,0.2,TEROS12,703,2020-01-29,2021-12-31
KibabiiUniversity,0.62025,34.52089,1509.0,0.2,TEROS12,731,2020-01-01,2021-12-31
KibisiSecondarySchool,0.69769,34.86532,1661.0,0.2,TEROS12,576,2020-02-10,2021-12-31
LariakSecondarySchool,0.4023,36.37726,2031.0,0.2,TEROS12,711,2020-01-01,2021-12-31
LikoniSchoolfortheBlind,-4.07898,39.65688,14.0,0.2,GS1,318,2020-01-01,2021-01-07
LongisaHighSchool,-0.85472,35.39565,2020.0,0.2,TEROS12,675,2020-01-01,2021-12-31
MagomanoSecondarySchool,-0.6068,36.5811,2488.0,0.1,TEROS12,655,2020-01-01,2021-12-31
MahaliMzuri,-1.27345,35.22345,1706.0,0.1,TEROS12,731,2020-01-01,2021-12-31
MaraTriangleAirstrip,-1.40424,35.00869,1608.0,0.1,TEROS12,607,2020-02-12,2021-12-31
MarariandaPrimary,-1.20328,35.06718,1660.0,0.2,TEROS12,699,2020-01-01,2021-12-31
MasenoUniversity,-0.00271,34.59691,1532.0,0.1,TEROS12,682,2020-01-01,2021-12-10
MoiForcesAcademy,-0.28712,36.16998,1936.0,0.2,TEROS12,601,2020-01-01,2021-12-31
MurungaruSecondarySchool,-0.58664,36.4931,2432.0,0.1,TEROS12,642,2020-01-17,2021-12-31
NDMA-TanaRiverHola,-1.4947,40.02984,68.0,0.1,TEROS12,731,2020-01-01,2021-12-31
NaboishoCamp,-1.40119,35.30749,1722.0,0.1,TEROS12,119,2020-08-10,2021-12-31
NzukiniSecondarySchool,-0.99192,37.5073,1132.0,0.2,TEROS12,731,2020-01-01,2021-12-31
OlderkesiSecondarySchool,-1.71137,35.56528,1952.0,0.2,TEROS12,731,2020-01-01,2021-12-31
OleTipisGirlsSecondarySchool,-1.09468,35.89234,1922.0,0.2,TEROS12,731,2020-01-01,2021-12-31
SenchuraSecondarySchool,-1.01291,35.89911,2131.0,0.1,TEROS12,731,2020-01-01,2021-12-31
StJohnsNyamagwa,-0.79177,34.80473,1819.0,0.1,TEROS12,590,2020-01-01,2021-12-31
UniversityofEmbu,-0.51665,37.45623,1463.0,0.2,TEROS12,731,2020-01-01,2021-12-31
